"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CURD test with steps","This will create new service","SUCCESS","2022-06-06T15:42:15.457+01:00[Europe/London]","0.0","5.43"
"Categories CURD test with steps","This will create new Category","SUCCESS","2022-06-06T15:42:15.472+01:00[Europe/London]","0.0","5.69"
"Stores CURD test with steps","Verify if the strore was created in application","SUCCESS","2022-06-06T15:42:20.959+01:00[Europe/London]","0.0","0.08"
"Stores CURD test with steps","Update the store information and verify the updated information","SUCCESS","2022-06-06T15:42:21.044+01:00[Europe/London]","0.0","0.11"
"Stores CURD test with steps","Test004","SUCCESS","2022-06-06T15:42:21.153+01:00[Europe/London]","0.0","0.07"
"Categories CURD test with steps","Verify if the Category was created in application","SUCCESS","2022-06-06T15:42:21.216+01:00[Europe/London]","0.0","0.08"
"Categories CURD test with steps","Update Category information and verify the updated information","SUCCESS","2022-06-06T15:42:21.294+01:00[Europe/London]","0.0","0.09"
"Categories CURD test with steps","Delete the category and verify if the category is deleted!","SUCCESS","2022-06-06T15:42:21.392+01:00[Europe/London]","0.0","0.82"
"Products CURD test with steps","This will create a new product","SUCCESS","2022-06-06T15:42:23.332+01:00[Europe/London]","0.0","0.1"
"Products CURD test with steps","Verify if the product was added to the application","SUCCESS","2022-06-06T15:42:23.437+01:00[Europe/London]","0.0","0.04"
"Products CURD test with steps","Update the product information and verify the updated information","SUCCESS","2022-06-06T15:42:23.476+01:00[Europe/London]","0.0","0.08"
"Products CURD test with steps","Delete the product and verify if the product is deleted!","SUCCESS","2022-06-06T15:42:23.559+01:00[Europe/London]","0.0","0.06"
"Services CURD test with steps","This will create new store","SUCCESS","2022-06-06T15:42:23.695+01:00[Europe/London]","0.0","0.07"
"Services CURD test with steps","Verify if the services is created","SUCCESS","2022-06-06T15:42:23.766+01:00[Europe/London]","0.0","0.03"
"Services CURD test with steps","Test003","SUCCESS","2022-06-06T15:42:23.794+01:00[Europe/London]","0.0","0.08"
"Services CURD test with steps","Delete Service and verify if the Service is deleted","SUCCESS","2022-06-06T15:42:23.878+01:00[Europe/London]","0.0","0.06"
